powershell,08/08/2024 09:04:44,08/08/2024 09:04:48
FileCoAuth,08/08/2024 09:04:44,08/08/2024 09:05:21
mspaint,08/08/2024 09:04:44,08/08/2024 09:05:53
firefox,08/08/2024 09:04:44,08/08/2024 09:06:26
backgroundTaskHost,08/08/2024 09:04:44,08/08/2024 09:07:52
conhost,08/08/2024 09:04:44,08/08/2024 09:07:52
ctfmon,08/08/2024 09:04:44,08/08/2024 09:07:52
DCv2,08/08/2024 09:04:44,08/08/2024 09:07:52
Discord,08/08/2024 09:04:44,08/08/2024 09:07:52
dllhost,08/08/2024 09:04:44,08/08/2024 09:07:52
explorer,08/08/2024 09:04:44,08/08/2024 09:07:52
fsnotifier,08/08/2024 09:04:44,08/08/2024 09:07:52
full-line-inference,08/08/2024 09:04:44,08/08/2024 09:07:52
igfxEM,08/08/2024 09:04:44,08/08/2024 09:07:52
LockApp,08/08/2024 09:04:44,08/08/2024 09:07:52
Microsoft.Media.Player,08/08/2024 09:04:44,08/08/2024 09:07:52
msedgewebview2,08/08/2024 09:04:44,08/08/2024 09:07:52
ms-teams,08/08/2024 09:04:44,08/08/2024 09:07:52
nahimicNotifSys,08/08/2024 09:04:44,08/08/2024 09:07:52
notepad++,08/08/2024 09:04:44,08/08/2024 09:07:52
nvcontainer,08/08/2024 09:04:44,08/08/2024 09:07:52
powershell,08/08/2024 09:09:36,08/08/2024 09:09:38
powershell,08/08/2024 09:10:00,08/08/2024 09:10:02
backgroundTaskHost,08/08/2024 09:10:00,08/08/2024 09:10:24
conhost,08/08/2024 09:10:00,08/08/2024 09:10:24
ctfmon,08/08/2024 09:10:00,08/08/2024 09:10:24
DCv2,08/08/2024 09:10:00,08/08/2024 09:10:24
Discord,08/08/2024 09:10:00,08/08/2024 09:10:24
dllhost,08/08/2024 09:10:00,08/08/2024 09:10:24
explorer,08/08/2024 09:10:00,08/08/2024 09:10:24
firefox,08/08/2024 09:10:00,08/08/2024 09:10:24
fsnotifier,08/08/2024 09:10:00,08/08/2024 09:10:24
full-line-inference,08/08/2024 09:10:00,08/08/2024 09:10:24
igfxEM,08/08/2024 09:10:00,08/08/2024 09:10:24
LockApp,08/08/2024 09:10:00,08/08/2024 09:10:24
Microsoft.Media.Player,08/08/2024 09:10:00,08/08/2024 09:10:24
