msedge,08/08/2024 09:10:00,08/08/2024 09:10:24
msedgewebview2,08/08/2024 09:10:00,08/08/2024 09:10:24
ms-teams,08/08/2024 09:10:00,08/08/2024 09:10:24
nahimicNotifSys,08/08/2024 09:10:00,08/08/2024 09:10:24
notepad++,08/08/2024 09:10:00,08/08/2024 09:10:24
nvcontainer,08/08/2024 09:10:00,08/08/2024 09:10:24
powershell,08/08/2024 09:18:53,08/08/2024 09:18:55
powershell,08/08/2024 09:19:59,08/08/2024 09:20:01
backgroundTaskHost,08/08/2024 09:19:59,08/08/2024 09:20:13
ApplicationFrameHost,08/08/2024 09:19:59,08/08/2024 09:20:26
EXCEL,08/08/2024 09:19:59,08/08/2024 09:20:26
Microsoft.Media.Player,08/08/2024 09:19:59,08/08/2024 09:20:26
notepad++,08/08/2024 09:19:59,08/08/2024 09:20:26
WINWORD,08/08/2024 09:19:59,08/08/2024 09:20:26
conhost,08/08/2024 09:19:59,08/08/2024 09:20:35
ctfmon,08/08/2024 09:19:59,08/08/2024 09:20:35
DCv2,08/08/2024 09:19:59,08/08/2024 09:20:35
Discord,08/08/2024 09:19:59,08/08/2024 09:20:35
dllhost,08/08/2024 09:19:59,08/08/2024 09:20:35
explorer,08/08/2024 09:19:59,08/08/2024 09:20:35
firefox,08/08/2024 09:19:59,08/08/2024 09:20:35
fsnotifier,08/08/2024 09:19:59,08/08/2024 09:20:35
full-line-inference,08/08/2024 09:19:59,08/08/2024 09:20:35
igfxEM,08/08/2024 09:19:59,08/08/2024 09:20:35
LockApp,08/08/2024 09:19:59,08/08/2024 09:20:35
msedge,08/08/2024 09:19:59,08/08/2024 09:20:35
msedgewebview2,08/08/2024 09:19:59,08/08/2024 09:20:35
ms-teams,08/08/2024 09:19:59,08/08/2024 09:20:35
nahimicNotifSys,08/08/2024 09:19:59,08/08/2024 09:20:35
nvcontainer,08/08/2024 09:19:59,08/08/2024 09:20:35
NVIDIA Share,08/08/2024 09:19:59,08/08/2024 09:20:35
NVIDIA Web Helper,08/08/2024 09:19:59,08/08/2024 09:20:35
nvsphelper64,08/08/2024 09:19:59,08/08/2024 09:20:35
OmApSvcBroker,08/08/2024 09:19:59,08/08/2024 09:20:35
pycharm64,08/08/2024 09:19:59,08/08/2024 09:20:35
python3.10,08/08/2024 09:19:59,08/08/2024 09:20:35
RtkAudUService64,08/08/2024 09:19:59,08/08/2024 09:20:35
RuntimeBroker,08/08/2024 09:19:59,08/08/2024 09:20:35
SearchHost,08/08/2024 09:19:59,08/08/2024 09:20:35
SecurityHealthSystray,08/08/2024 09:19:59,08/08/2024 09:20:35
ShellExperienceHost,08/08/2024 09:19:59,08/08/2024 09:20:35
sihost,08/08/2024 09:19:59,08/08/2024 09:20:35
smartscreen,08/08/2024 09:19:59,08/08/2024 09:20:35
StartMenuExperienceHost,08/08/2024 09:19:59,08/08/2024 09:20:35
svchost,08/08/2024 09:19:59,08/08/2024 09:20:35
TabTip,08/08/2024 09:19:59,08/08/2024 09:20:35
taskhostw,08/08/2024 09:19:59,08/08/2024 09:20:35
TextInputHost,08/08/2024 09:19:59,08/08/2024 09:20:35
UserOOBEBroker,08/08/2024 09:19:59,08/08/2024 09:20:35
VoiceControlEngine,08/08/2024 09:19:59,08/08/2024 09:20:35
Wacom_TabletUser,08/08/2024 09:19:59,08/08/2024 09:20:35
Wacom_TouchUser,08/08/2024 09:19:59,08/08/2024 09:20:35
Wacom_UpdateUtil,08/08/2024 09:19:59,08/08/2024 09:20:35
Widgets,08/08/2024 09:19:59,08/08/2024 09:20:35
WidgetService,08/08/2024 09:19:59,08/08/2024 09:20:35
